VCD info: dumpfile top.vcd opened for output.
Time	PC		Instr		ALU		RegWrite
t=3365000 PC=0000053c IADDR=0000053c IRDATA=00000013 INSTR=00000013
t=3375000 PC=00000540 IADDR=00000540 IRDATA=00000013 INSTR=00000013
t=3385000 PC=00000544 IADDR=00000544 IRDATA=00000013 INSTR=00000013
t=3395000 PC=00000548 IADDR=00000548 IRDATA=00000013 INSTR=00000013
t=3405000 PC=0000054c IADDR=0000054c IRDATA=00000013 INSTR=00000013
t=3415000 PC=00000550 IADDR=00000550 IRDATA=00000013 INSTR=00000013
t=3425000 PC=00000554 IADDR=00000554 IRDATA=00000013 INSTR=00000013
t=3435000 PC=00000558 IADDR=00000558 IRDATA=00000013 INSTR=00000013
t=3445000 PC=0000055c IADDR=0000055c IRDATA=00000013 INSTR=00000013
t=3455000 PC=00000560 IADDR=00000560 IRDATA=00000013 INSTR=00000013
t=3465000 PC=00000564 IADDR=00000564 IRDATA=00000013 INSTR=00000013
t=3475000 PC=00000568 IADDR=00000568 IRDATA=00000013 INSTR=00000013
t=3485000 PC=0000056c IADDR=0000056c IRDATA=00000013 INSTR=00000013
t=3495000 PC=00000570 IADDR=00000570 IRDATA=00000013 INSTR=00000013
t=3505000 PC=00000574 IADDR=00000574 IRDATA=00000013 INSTR=00000013
t=3515000 PC=00000578 IADDR=00000578 IRDATA=00000013 INSTR=00000013
t=3525000 PC=0000057c IADDR=0000057c IRDATA=00000013 INSTR=00000013
t=3535000 PC=00000580 IADDR=00000580 IRDATA=00000013 INSTR=00000013
t=3545000 PC=00000584 IADDR=00000584 IRDATA=00000013 INSTR=00000013
t=3555000 PC=00000588 IADDR=00000588 IRDATA=00000013 INSTR=00000013
t=3565000 PC=0000058c IADDR=0000058c IRDATA=00000013 INSTR=00000013
t=3575000 PC=00000590 IADDR=00000590 IRDATA=00000013 INSTR=00000013
t=3585000 PC=00000594 IADDR=00000594 IRDATA=00000013 INSTR=00000013
t=3595000 PC=00000598 IADDR=00000598 IRDATA=00000013 INSTR=00000013
t=3605000 PC=0000059c IADDR=0000059c IRDATA=00000013 INSTR=00000013
t=3615000 PC=000005a0 IADDR=000005a0 IRDATA=00000013 INSTR=00000013
t=3625000 PC=000005a4 IADDR=000005a4 IRDATA=00000013 INSTR=00000013
t=3635000 PC=000005a8 IADDR=000005a8 IRDATA=00000013 INSTR=00000013
t=3645000 PC=000005ac IADDR=000005ac IRDATA=00000013 INSTR=00000013
t=3655000 PC=000005b0 IADDR=000005b0 IRDATA=00000013 INSTR=00000013
t=3665000 PC=000005b4 IADDR=000005b4 IRDATA=00000013 INSTR=00000013
t=3675000 PC=000005b8 IADDR=000005b8 IRDATA=00000013 INSTR=00000013
t=3685000 PC=000005bc IADDR=000005bc IRDATA=00000013 INSTR=00000013
t=3695000 PC=000005c0 IADDR=000005c0 IRDATA=00000013 INSTR=00000013
t=3705000 PC=000005c4 IADDR=000005c4 IRDATA=00000013 INSTR=00000013
t=3715000 PC=000005c8 IADDR=000005c8 IRDATA=00000013 INSTR=00000013
t=3725000 PC=000005cc IADDR=000005cc IRDATA=00000013 INSTR=00000013
t=3735000 PC=000005d0 IADDR=000005d0 IRDATA=00000013 INSTR=00000013
t=3745000 PC=000005d4 IADDR=000005d4 IRDATA=00000013 INSTR=00000013
t=3755000 PC=000005d8 IADDR=000005d8 IRDATA=00000013 INSTR=00000013
t=3765000 PC=000005dc IADDR=000005dc IRDATA=00000013 INSTR=00000013
t=3775000 PC=000005e0 IADDR=000005e0 IRDATA=00000013 INSTR=00000013
t=3785000 PC=000005e4 IADDR=000005e4 IRDATA=00000013 INSTR=00000013
t=3795000 PC=000005e8 IADDR=000005e8 IRDATA=00000013 INSTR=00000013
t=3805000 PC=000005ec IADDR=000005ec IRDATA=00000013 INSTR=00000013
t=3815000 PC=000005f0 IADDR=000005f0 IRDATA=00000013 INSTR=00000013
t=3825000 PC=000005f4 IADDR=000005f4 IRDATA=00000013 INSTR=00000013
t=3835000 PC=000005f8 IADDR=000005f8 IRDATA=00000013 INSTR=00000013
t=3845000 PC=000005fc IADDR=000005fc IRDATA=00000013 INSTR=00000013
t=3855000 PC=00000600 IADDR=00000600 IRDATA=00000013 INSTR=00000013
t=3865000 PC=00000604 IADDR=00000604 IRDATA=00000013 INSTR=00000013
t=3875000 PC=00000608 IADDR=00000608 IRDATA=00000013 INSTR=00000013
t=3885000 PC=0000060c IADDR=0000060c IRDATA=00000013 INSTR=00000013
t=3895000 PC=00000610 IADDR=00000610 IRDATA=00000013 INSTR=00000013
t=3905000 PC=00000614 IADDR=00000614 IRDATA=00000013 INSTR=00000013
t=3915000 PC=00000618 IADDR=00000618 IRDATA=00000013 INSTR=00000013
t=3925000 PC=0000061c IADDR=0000061c IRDATA=00000013 INSTR=00000013
t=3935000 PC=00000620 IADDR=00000620 IRDATA=00000013 INSTR=00000013
t=3945000 PC=00000624 IADDR=00000624 IRDATA=00000013 INSTR=00000013
t=3955000 PC=00000628 IADDR=00000628 IRDATA=00000013 INSTR=00000013
t=3965000 PC=0000062c IADDR=0000062c IRDATA=00000013 INSTR=00000013
t=3975000 PC=00000630 IADDR=00000630 IRDATA=00000013 INSTR=00000013
t=3985000 PC=00000634 IADDR=00000634 IRDATA=00000013 INSTR=00000013
t=3995000 PC=00000638 IADDR=00000638 IRDATA=00000013 INSTR=00000013
t=4005000 PC=0000063c IADDR=0000063c IRDATA=00000013 INSTR=00000013
t=4015000 PC=00000640 IADDR=00000640 IRDATA=00000013 INSTR=00000013
t=4025000 PC=00000644 IADDR=00000644 IRDATA=00000013 INSTR=00000013
t=4035000 PC=00000648 IADDR=00000648 IRDATA=00000013 INSTR=00000013
t=4045000 PC=0000064c IADDR=0000064c IRDATA=00000013 INSTR=00000013
t=4055000 PC=00000650 IADDR=00000650 IRDATA=00000013 INSTR=00000013
t=4065000 PC=00000654 IADDR=00000654 IRDATA=00000013 INSTR=00000013
t=4075000 PC=00000658 IADDR=00000658 IRDATA=00000013 INSTR=00000013
t=4085000 PC=0000065c IADDR=0000065c IRDATA=00000013 INSTR=00000013
t=4095000 PC=00000660 IADDR=00000660 IRDATA=00000013 INSTR=00000013
t=4105000 PC=00000664 IADDR=00000664 IRDATA=00000013 INSTR=00000013
t=4115000 PC=00000668 IADDR=00000668 IRDATA=00000013 INSTR=00000013
t=4125000 PC=0000066c IADDR=0000066c IRDATA=00000013 INSTR=00000013
t=4135000 PC=00000670 IADDR=00000670 IRDATA=00000013 INSTR=00000013
t=4145000 PC=00000674 IADDR=00000674 IRDATA=00000013 INSTR=00000013
t=4155000 PC=00000678 IADDR=00000678 IRDATA=00000013 INSTR=00000013
t=4165000 PC=0000067c IADDR=0000067c IRDATA=00000013 INSTR=00000013
t=4175000 PC=00000680 IADDR=00000680 IRDATA=00000013 INSTR=00000013
t=4185000 PC=00000684 IADDR=00000684 IRDATA=00000013 INSTR=00000013
t=4195000 PC=00000688 IADDR=00000688 IRDATA=00000013 INSTR=00000013
t=4205000 PC=0000068c IADDR=0000068c IRDATA=00000013 INSTR=00000013
t=4215000 PC=00000690 IADDR=00000690 IRDATA=00000013 INSTR=00000013
t=4225000 PC=00000694 IADDR=00000694 IRDATA=00000013 INSTR=00000013
t=4235000 PC=00000698 IADDR=00000698 IRDATA=00000013 INSTR=00000013
t=4245000 PC=0000069c IADDR=0000069c IRDATA=00000013 INSTR=00000013
t=4255000 PC=000006a0 IADDR=000006a0 IRDATA=00000013 INSTR=00000013
t=4265000 PC=000006a4 IADDR=000006a4 IRDATA=00000013 INSTR=00000013
t=4275000 PC=000006a8 IADDR=000006a8 IRDATA=00000013 INSTR=00000013
t=4285000 PC=000006ac IADDR=000006ac IRDATA=00000013 INSTR=00000013
t=4295000 PC=000006b0 IADDR=000006b0 IRDATA=00000013 INSTR=00000013
t=4305000 PC=000006b4 IADDR=000006b4 IRDATA=00000013 INSTR=00000013
t=4315000 PC=000006b8 IADDR=000006b8 IRDATA=00000013 INSTR=00000013
t=4325000 PC=000006bc IADDR=000006bc IRDATA=00000013 INSTR=00000013
t=4335000 PC=000006c0 IADDR=000006c0 IRDATA=00000013 INSTR=00000013
t=4345000 PC=000006c4 IADDR=000006c4 IRDATA=00000013 INSTR=00000013
t=4355000 PC=000006c8 IADDR=000006c8 IRDATA=00000013 INSTR=00000013
t=4365000 PC=000006cc IADDR=000006cc IRDATA=00000013 INSTR=00000013
t=4375000 PC=000006d0 IADDR=000006d0 IRDATA=00000013 INSTR=00000013
t=4385000 PC=000006d4 IADDR=000006d4 IRDATA=00000013 INSTR=00000013
t=4395000 PC=000006d8 IADDR=000006d8 IRDATA=00000013 INSTR=00000013
t=4405000 PC=000006dc IADDR=000006dc IRDATA=00000013 INSTR=00000013
t=4415000 PC=000006e0 IADDR=000006e0 IRDATA=00000013 INSTR=00000013
t=4425000 PC=000006e4 IADDR=000006e4 IRDATA=00000013 INSTR=00000013
t=4435000 PC=000006e8 IADDR=000006e8 IRDATA=00000013 INSTR=00000013
t=4445000 PC=000006ec IADDR=000006ec IRDATA=00000013 INSTR=00000013
t=4455000 PC=000006f0 IADDR=000006f0 IRDATA=00000013 INSTR=00000013
t=4465000 PC=000006f4 IADDR=000006f4 IRDATA=00000013 INSTR=00000013
t=4475000 PC=000006f8 IADDR=000006f8 IRDATA=00000013 INSTR=00000013
t=4485000 PC=000006fc IADDR=000006fc IRDATA=00000013 INSTR=00000013
t=4495000 PC=00000700 IADDR=00000700 IRDATA=00000013 INSTR=00000013
t=4505000 PC=00000704 IADDR=00000704 IRDATA=00000013 INSTR=00000013
t=4515000 PC=00000708 IADDR=00000708 IRDATA=00000013 INSTR=00000013
t=4525000 PC=0000070c IADDR=0000070c IRDATA=00000013 INSTR=00000013
t=4535000 PC=00000710 IADDR=00000710 IRDATA=00000013 INSTR=00000013
t=4545000 PC=00000714 IADDR=00000714 IRDATA=00000013 INSTR=00000013
t=4555000 PC=00000718 IADDR=00000718 IRDATA=00000013 INSTR=00000013
t=4565000 PC=0000071c IADDR=0000071c IRDATA=00000013 INSTR=00000013
t=4575000 PC=00000720 IADDR=00000720 IRDATA=00000013 INSTR=00000013
t=4585000 PC=00000724 IADDR=00000724 IRDATA=00000013 INSTR=00000013
t=4595000 PC=00000728 IADDR=00000728 IRDATA=00000013 INSTR=00000013
t=4605000 PC=0000072c IADDR=0000072c IRDATA=00000013 INSTR=00000013
t=4615000 PC=00000730 IADDR=00000730 IRDATA=00000013 INSTR=00000013
t=4625000 PC=00000734 IADDR=00000734 IRDATA=00000013 INSTR=00000013
t=4635000 PC=00000738 IADDR=00000738 IRDATA=00000013 INSTR=00000013
t=4645000 PC=0000073c IADDR=0000073c IRDATA=00000013 INSTR=00000013
t=4655000 PC=00000740 IADDR=00000740 IRDATA=00000013 INSTR=00000013
t=4665000 PC=00000744 IADDR=00000744 IRDATA=00000013 INSTR=00000013
t=4675000 PC=00000748 IADDR=00000748 IRDATA=00000013 INSTR=00000013
t=4685000 PC=0000074c IADDR=0000074c IRDATA=00000013 INSTR=00000013
t=4695000 PC=00000750 IADDR=00000750 IRDATA=00000013 INSTR=00000013
t=4705000 PC=00000754 IADDR=00000754 IRDATA=00000013 INSTR=00000013
t=4715000 PC=00000758 IADDR=00000758 IRDATA=00000013 INSTR=00000013
t=4725000 PC=0000075c IADDR=0000075c IRDATA=00000013 INSTR=00000013
t=4735000 PC=00000760 IADDR=00000760 IRDATA=00000013 INSTR=00000013
t=4745000 PC=00000764 IADDR=00000764 IRDATA=00000013 INSTR=00000013
t=4755000 PC=00000768 IADDR=00000768 IRDATA=00000013 INSTR=00000013
t=4765000 PC=0000076c IADDR=0000076c IRDATA=00000013 INSTR=00000013
t=4775000 PC=00000770 IADDR=00000770 IRDATA=00000013 INSTR=00000013
t=4785000 PC=00000774 IADDR=00000774 IRDATA=00000013 INSTR=00000013
t=4795000 PC=00000778 IADDR=00000778 IRDATA=00000013 INSTR=00000013
t=4805000 PC=0000077c IADDR=0000077c IRDATA=00000013 INSTR=00000013
t=4815000 PC=00000780 IADDR=00000780 IRDATA=00000013 INSTR=00000013
t=4825000 PC=00000784 IADDR=00000784 IRDATA=00000013 INSTR=00000013
t=4835000 PC=00000788 IADDR=00000788 IRDATA=00000013 INSTR=00000013
t=4845000 PC=0000078c IADDR=0000078c IRDATA=00000013 INSTR=00000013
t=4855000 PC=00000790 IADDR=00000790 IRDATA=00000013 INSTR=00000013
t=4865000 PC=00000794 IADDR=00000794 IRDATA=00000013 INSTR=00000013
t=4875000 PC=00000798 IADDR=00000798 IRDATA=00000013 INSTR=00000013
t=4885000 PC=0000079c IADDR=0000079c IRDATA=00000013 INSTR=00000013
t=4895000 PC=000007a0 IADDR=000007a0 IRDATA=00000013 INSTR=00000013
t=4905000 PC=000007a4 IADDR=000007a4 IRDATA=00000013 INSTR=00000013
t=4915000 PC=000007a8 IADDR=000007a8 IRDATA=00000013 INSTR=00000013
t=4925000 PC=000007ac IADDR=000007ac IRDATA=00000013 INSTR=00000013
t=4935000 PC=000007b0 IADDR=000007b0 IRDATA=00000013 INSTR=00000013
t=4945000 PC=000007b4 IADDR=000007b4 IRDATA=00000013 INSTR=00000013
t=4955000 PC=000007b8 IADDR=000007b8 IRDATA=00000013 INSTR=00000013
t=4965000 PC=000007bc IADDR=000007bc IRDATA=00000013 INSTR=00000013
t=4975000 PC=000007c0 IADDR=000007c0 IRDATA=00000013 INSTR=00000013
t=4985000 PC=000007c4 IADDR=000007c4 IRDATA=00000013 INSTR=00000013
t=4995000 PC=000007c8 IADDR=000007c8 IRDATA=00000013 INSTR=00000013

================================
Simulation Finished
PC    = 000007c8
INST  = 00000013
ALU   = 00000000
================================
tb/tb_top.v:66: $finish called at 5000000 (1ps)
