VCD info: dumpfile soc_top_tb.vcd opened for output.
[TB] Applying System Reset Initialization...
Time=1230ns | PC=0x000000e4 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1250ns | PC=0x000000e8 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1270ns | PC=0x000000ec | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1290ns | PC=0x000000f0 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1310ns | PC=0x000000f4 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1330ns | PC=0x000000f8 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1350ns | PC=0x000000fc | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1370ns | PC=0x00000100 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1390ns | PC=0x00000104 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1410ns | PC=0x00000108 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1430ns | PC=0x0000010c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1450ns | PC=0x00000110 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1470ns | PC=0x00000114 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1490ns | PC=0x00000118 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1510ns | PC=0x0000011c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1530ns | PC=0x00000120 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1550ns | PC=0x00000124 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1570ns | PC=0x00000128 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1590ns | PC=0x0000012c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
